,0
0,"A blood angel space marine in the foreground. Scenic view at night, underexposed, clean horizon, matte painting by craig mullins and dan mumford, cinematic, high fantasy, style of game of thrones, concept art trending on artstation, 4k, insane detailsa render of a small character from skyrim in an anime style with a long fabric cloak looking at the sky and facing away from the camera. there is shiny a liquid reflecting everything from below. 8 k, unreal engine, blender, vaporwareaesthetics, trending on artstation"
1,"a detailed fifty mm portrait of ( dominic bernard patrick luke monaghan ) meriadoc brandybuck as a hobbit in a black adidas track suit with white stripes, headshot, highly detailed, digital painting, artstation, concept art, sharp focus, cinematic lighting, illustration, art by met mangindaan, artgerm and greg rutkowski, alphonse mucha, cgsocietyprompt! dream symmetry!! stunning portrait of beautiful a maine coon cat!! by victo ngai, kilian eng vibrant colours, dynamic lighting, digital art, winning award masterpiece, fantastically beautiful, illustration, aesthetically inspired by beksinski and dan mumford, trending on artstation, art by greg rutkowski, 8 k"
2,"thanos as a feminine beautiful muscular fitness model dressed as a battle nun, red lips, attractive, highly detailed full body portrait, pretty face, elegant, breathtaking art, concept art, by artgerm and ilya kuvshinovstar wars film still, closeup portrait of a dirty sand trooper bounty hunter wearing a hooded cloak, standing in a cantina, dust, scum and villainy, rim light, embers, hyper detailed, smooth, high contrast, concept art, gta v, volumetric lighting, ralph mcquarrie, doug chiang, ryan church"
3,"anime girl with short hair and cat ears playing with a small black kitten, concept art, wlop, digital painting, trending on artstation, highly detailed, epic composition, official media, 8 k uhdcinematic poster of t rex fighting a spinosaurus, dark fantasy fetures, desaturated, tim hildebrandt, wayne barlowe, bruce pennington, donato giancola, larry elmore, oil on canvas, masterpiece, trending on artstation, featured on pixiv, cinematic composition, dramatic pose, beautiful lighting, sharp, details, hyper - detailed, hd, 4 k"
4,"a closeup photorealistic photograph of bob ross working on a canvas painting of marilyn manson. happy trees, mountain scape. film still. brightly lit scene. this 4 k hd image is trending on artstation, featured on behance, well - rendered, extra crisp, features intricate detail, epic composition and the style of unreal engine.closeup portrait of a young vivian leigh, dramatic lighting, city background, night, moon, chiaroscuro, high detail, painted by greg rutkowski, painted by igor kieryluk, painted by bobby chiu, trending on artstation"
5,"a bird wearing a wizard hat, D&D, fantasy, cinematic lighting, highly detailed, artstation, concept art, smooth, sharp focus, illustration, warm light, cozy warm tint, magic the gathering artwork, volumetric lighting, 8k, no gold, no gold colours, art by Akihiko Yoshida, Greg Rutkowskia long road leading to a large postcyberpunk city on the horizon in the distance. Gas street lamps. Fields on the sides of, the road, desolate. digital illustration, very vibrant colors, soft lighting, adventurous, atmospheric lighting, 8K, octane render. By Makoto Shinkai, Stanley Artgerm Lau, WLOP, Rossdraws, James Jean, Andrei Riabovitchev, Marc Simonetti, krenz cushart, Sakimichan, D&D trending on ArtStation, digital art."
6,"highly detailed concept art of d & d characters, dystopian post - apocalyptic retrofuturistic neon vibe, an ultrafine detailed painting by hans giger and wayne barlowe, trending on deviantart, pop surrealism, whimsical, lowbrow, perfect symmetrical face, sharp focus, octane, masterpiecean ethereal dramatic painting of a handsome rugged shirtless desi hiker | he is wearing a plaid kilt and cowboy hat, and holding a wooden pole | background is mountains and clouds | homoerotic, dramatic lighting, highly detailed, vintage travel poster | by peder balke, by maxfield parrish | trending on artstation"
7,"sensual beautiful young pakistani girl wearing a little black dress at a bar, dancing in the background, epic scene, by victo ngai, kilian eng vibrant colours, dynamic lighting, digital art, winning award masterpiece, fantastically beautiful, illustration, aesthetically inspired by beksinski and dan mumford, trending on artstation, art by greg rutkowski, 8 kserene pool in white citadel, hyper realistic, ambient lighting, concept art, intricate, hyper detailed, smooth, dynamic volumetric lighting, octane, raytrace, cinematic, high quality, high resolution, 4 k, cgsociety, rutkowski, gurney"
8,"a dream portrait of homer simpson, black & white, melting, webbing, 8 k, by tristan eaton, stanley artgerm, tom bagshaw, greg rutkowski, carne griffiths, ayami kojima, beksinski, giger, trending on deviantart, face enhance, hyper detailed, minimalist, horror, alienportrait of a beautiful goddess, enigmatic beauty, dominant shades of black, gold silver, dark red, white, head in focus, fantasy art, ornamental aesthetics, intricate, elegant, highly detailed, hyperrealistic painting, artstation, concept art, painterly, sharp focus, illustration, art by karol bak"
9,"a highly detailed matte painting of a single gas station with a sign in lightning storm and heavy rain by studio ghibli, makoto shinkai, by artgerm, by wlop, by greg rutkowski, volumetric lighting, octane render, 4 k resolution, trending on artstation, masterpiecephoto of a black kitchen, red walls, white floortiles, architecture, concept art"
10,"symmetry!! stunning portrait of goku!! by victo ngai, kilian eng vibrant colors, dynamic lighting, digital art, winning award masterpiece, fantastically beautiful, illustration, aestheticly inspired by beksinski and dan mumford, trending on artstation, art by greg rutkowski and akira toriyama, 4 kcyber armor, dreamy and ethereal, expressive pose, gold eyes, exciting expression, fantasy, intricate, elegant, many lightning, cold color, highly detailed, digital painting, artstation, concept art, cyberpunk wearing, smooth, sharp focus, led, illustration."
11,"portrait of biblical delilah holding medieval shear scissors, intricate, headshot, highly detailed, digital painting, artstation, concept art, sharp focus, cinematic lighting, illustration, art by artgerm and greg rutkowski, alphonse mucha, cgsocietyegyptian warrior, portrait, fierce, intricate, elegant, red volumetric lighting, digital painting, highly detailed, artstation, sharp focus, illustration, concept art, ruan jia, steve mccurry"
12,"hyperrealistic painting of a beautiful young woman holding a book while a woman and three men peep into the book from behind, detailed digital art, trending on artstation,portrait of hisoka morow hunter hunter, male, small eyes very thin pursed lips extremely sharp jaw yellow eyes narrow almond eyes sultry eyes dark red hair soft hair slicked back crimson hair anime, madonna bowie elegant, highly detailed, digital painting, artstation art by artgerm and greg rutkowski and alphonse mucha"
